"DEPARTAMENTO","MUNICIPIO","DIA","HORA","ZONA","ARMA EMPLEADA","MOVIL AGRESOR","MOVIL VICTIMA","EDAD","SEXO","CATEGORIA","CAPTURADO","ESTATURA_AGRESOR"
"ANTIOQUIA","MEDELLÍN (CT)","Sábado",13:25:00,"URBANA","SIN EMPLEO DE ARMAS","PASAJERO MOTOCICLETA","CONDUCTOR MOTOCICLETA",47,"MASCULINO","Medio","SI",155.6
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Lunes",10:30:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",25,"FEMENINO","Bajo","SI",164.9
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves",07:05:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",23,"MASCULINO","Bajo","SI",139.9
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves",04:45:00,"URBANA","ARMA BLANCA","PASAJERO MOTOCICLETA","BICICLETA",49,"MASCULINO","Medio","NO",179.8
"TOLIMA","MELGAR","Martes",02:40:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",45,"MASCULINO","Medio","SI",162.7
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes",14:50:00,"URBANA","ARMA DE FUEGO","A PIE","VEHICULO",42,"MASCULINO","Medio","SI",170.4
"CAQUETÁ","FLORENCIA (CT)","Miércoles",16:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",35,"MASCULINO","Bajo","SI",175.3
"VALLE","CALI (CT)","Sábado",10:00:00,"URBANA","CONTUNDENTES","A PIE","A PIE",25,"FEMENINO","Bajo","SI",166.7
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Domingo",09:00:00,"URBANA","CORTANTES","A PIE","A PIE",37,"FEMENINO","Bajo","SI",173.7
"CAUCA","EL TAMBO","Miércoles",19:00:00,"RURAL","ARMA DE FUEGO","PASAJERO MOTOCICLETA","VEHICULO",38,"MASCULINO","Bajo","SI",169.4
"CALDAS","MANIZALES (CT)","Viernes",16:30:00,"URBANA","ARMA BLANCA","A PIE","BICICLETA",17,"MASCULINO","Muy Bajo","SI",165.5
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes",20:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",33,"FEMENINO","Bajo","SI",160.2
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes",09:00:00,"URBANA","SIN EMPLEO DE ARMAS","PASAJERO BUS","PASAJERO BUS",58,"FEMENINO","Alto","NO",162.7
"ANTIOQUIA","MEDELLÍN (CT)","Viernes",17:30:00,"URBANA","ARMA DE FUEGO","CONDUCTOR MOTOCICLETA","VEHICULO",30,"MASCULINO","Bajo","SI",148.2
"ANTIOQUIA","MEDELLÍN (CT)","Lunes",15:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",53,"MASCULINO","Medio","NO",162.5
"VALLE","CALI (CT)","Martes",11:00:00,"URBANA","ARMA DE FUEGO","A PIE","A PIE",73,"MASCULINO","Alto","NO",185.4
"VALLE","CALI (CT)","Viernes",11:00:00,"URBANA","ARMA DE FUEGO","A PIE","PASAJERO MOTOCICLETA",49,"FEMENINO","Medio","NO",165.6
"QUINDÍO","ARMENIA (CT)","Domingo",15:30:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",76,"MASCULINO","Alto","NO",172.1
"VALLE","CALI (CT)","Sábado",18:00:00,"URBANA","ARMA BLANCA","A PIE","A PIE",16,"MASCULINO","Muy Bajo","SI",142
"MAGDALENA","SANTA MARTA (CT)","Sábado",17:50:00,"URBANA","ARMA BLANCA","A PIE","A PIE",26,"MASCULINO","Bajo","SI",150.6
"MAGDALENA","SANTA MARTA (CT)","Martes",16:30:00,"URBANA","ARMA BLANCA","A PIE","A PIE",36,"FEMENINO","Bajo","SI",161.5
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Miércoles",18:40:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",45,"MASCULINO","Medio","SI",132.3
"SANTANDER","SAN GIL","Domingo",02:57:00,"URBANA","CONTUNDENTES","A PIE","A PIE",49,"MASCULINO","Medio","NO",168.1
"ANTIOQUIA","RIONEGRO","Sábado",16:57:00,"URBANA","ARMA BLANCA","A PIE","A PIE",26,"MASCULINO","Bajo","SI",167.4
"BOYACÁ","TUNJA (CT)","Domingo",04:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",44,"FEMENINO","Medio","SI",176.2
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes",14:15:00,"URBANA","ARMA BLANCA","A PIE","A PIE",23,"FEMENINO","Bajo","SI",158.4
"TOLIMA","IBAGUÉ (CT)","Jueves",20:05:00,"URBANA","ARMA BLANCA","A PIE","A PIE",15,"MASCULINO","Muy Bajo","SI",190.1
"ANTIOQUIA","MEDELLÍN (CT)","Martes",10:20:00,"URBANA","ARMA DE FUEGO","CONDUCTOR MOTOCICLETA","PASAJERO TAXI",32,"MASCULINO","Bajo","SI",171.2
"VALLE","CALI (CT)","Martes",00:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",36,"MASCULINO","Bajo","SI",193.4
"ANTIOQUIA","MEDELLÍN (CT)","Martes",10:00:00,"URBANA","ARMA DE FUEGO","A PIE","A PIE",22,"MASCULINO","Bajo","SI",168.4
"CAQUETÁ","FLORENCIA (CT)","Domingo",15:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",19,"MASCULINO","Muy Bajo","SI",178.9
"CESAR","BOSCONIA","Viernes",19:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","VEHICULO",33,"MASCULINO","Bajo","SI",157.7
"ANTIOQUIA","MEDELLÍN (CT)","Lunes",10:30:00,"URBANA","ARMA DE FUEGO","PASAJERO MOTOCICLETA","CONDUCTOR MOTOCICLETA",41,"MASCULINO","Medio","SI",162.4
"ANTIOQUIA","ENVIGADO","Viernes",16:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",50,"FEMENINO","Medio","NO",158.3
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Sábado",14:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",18,"FEMENINO","Muy Bajo","SI",146.3
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes",12:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","VEHICULO",37,"MASCULINO","Bajo","SI",180.9
"ANTIOQUIA","MEDELLÍN (CT)","Sábado",18:00:00,"URBANA","ARMA BLANCA","A PIE","A PIE",63,"MASCULINO","Alto","NO",158.2
"RISARALDA","PEREIRA (CT)","Domingo",11:00:00,"URBANA","ARMA BLANCA","PASAJERO BUS","CONDUCTOR BUS",31,"MASCULINO","Bajo","SI",179.2
"NORTE DE SANTANDER","CÚCUTA (CT)","Domingo",19:55:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","VEHICULO",26,"FEMENINO","Bajo","SI",172.1
"ARAUCA","TAME","Viernes",22:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",19,"MASCULINO","Muy Bajo","SI",158.2
"ANTIOQUIA","MEDELLÍN (CT)","Sábado",18:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",46,"MASCULINO","Medio","SI",205.5
"ANTIOQUIA","MEDELLÍN (CT)","Viernes",09:36:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",29,"MASCULINO","Bajo","SI",159.2
"ANTIOQUIA","MEDELLÍN (CT)","Jueves",11:20:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",69,"MASCULINO","Alto","NO",143
"ANTIOQUIA","ITUANGO","Lunes",08:00:00,"RURAL","SIN EMPLEO DE ARMAS","A PIE","A PIE",24,"MASCULINO","Bajo","SI",172.3
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Lunes",07:05:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",19,"FEMENINO","Muy Bajo","SI",152.3
"ANTIOQUIA","ENVIGADO","Jueves",09:30:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",33,"FEMENINO","Bajo","SI",181.7
"ANTIOQUIA","MEDELLÍN (CT)","Jueves",06:50:00,"URBANA","ARMA DE FUEGO","CONDUCTOR MOTOCICLETA","VEHICULO",45,"MASCULINO","Medio","SI",174.7
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes",08:20:00,"URBANA","ARMA BLANCA","PASAJERO MOTOCICLETA","A PIE",37,"MASCULINO","Bajo","SI",166.3
"SANTANDER","GIRÓN","Miércoles",03:45:00,"URBANA","ARMA BLANCA","A PIE","A PIE",18,"MASCULINO","Muy Bajo","SI",188.1
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Miércoles",15:00:00,"URBANA","ARMA BLANCA","A PIE","A PIE",14,"FEMENINO","Muy Bajo","SI",178
"ANTIOQUIA","MEDELLÍN (CT)","Jueves",15:30:00,"URBANA","ARMA DE FUEGO","VEHICULO","VEHICULO",28,"MASCULINO","Bajo","SI",179
"VALLE","CALI (CT)","Miércoles",17:30:00,"URBANA","ARMA DE FUEGO","CONDUCTOR MOTOCICLETA","A PIE",35,"MASCULINO","Bajo","SI",170.1
"CHOCÓ","TADÓ","Viernes",00:00:00,"URBANA","NO REPORTADO","A PIE","A PIE",35,"MASCULINO","Bajo","SI",161.2
"VALLE","CALI (CT)","Viernes",15:15:00,"URBANA","CONTUNDENTES","A PIE","A PIE",24,"FEMENINO","Bajo","SI",174.3
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Jueves",09:40:00,"URBANA","SIN EMPLEO DE ARMAS","VEHICULO","VEHICULO",50,"MASCULINO","Medio","NO",165.9
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Lunes",13:00:00,"URBANA","CONTUNDENTES","A PIE","A PIE",54,"MASCULINO","Medio","NO",167.2
"CASANARE","YOPAL (CT)","Jueves",09:00:00,"URBANA","SIN EMPLEO DE ARMAS","PASAJERO MOTOCICLETA","A PIE",55,"MASCULINO","Medio","NO",186.3
"CUNDINAMARCA","BOGOTÁ D.C. (CT)","Viernes",02:00:00,"URBANA","SIN EMPLEO DE ARMAS","A PIE","A PIE",39,"MASCULINO","Medio","SI",160.5
"META","VILLAVICENCIO (CT)","Miércoles",11:55:00,"URBANA","SIN EMPLEO DE ARMAS","CONDUCTOR MOTOCICLETA","A PIE",28,"MASCULINO","Bajo","SI",173.6
"MAGDALENA","SANTA MARTA (CT)","Jueves",11:00:00,"URBANA","ARMA DE FUEGO","PASAJERO MOTOCICLETA","A PIE",43,"MASCULINO","Medio","SI",154.7
"ANTIOQUIA","GIRARDOTA","Lunes",09:00:00,"URBANA","CONTUNDENTES","A PIE","A PIE",30,"MASCULINO","Bajo","SI",175.1
"ANTIOQUIA","MEDELLÍN (CT)","Sábado",00:30:00,"URBANA","ARMA BLANCA","A PIE","A PIE",25,"FEMENINO","Bajo","SI",159.9
"ANTIOQUIA","MEDELLÍN (CT)","Lunes",01:50:00,"URBANA","ARMA BLANCA","A PIE","A PIE",21,"MASCULINO","Bajo","SI",153.2
"ANTIOQUIA","MEDELLÍN (CT)","Domingo",19:30:00,"URBANA","ARMA BLANCA","A PIE","A PIE",42,"FEMENINO","Medio","SI",183.7
